id,SeriousDlqin2yrs,age,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTimes90DaysLate,NumberOfTime60-89DaysPastDueNotWorse,MonthlyIncome,NumberOfDependents,DebtRatio
1,0,64,0,0,0,8158,0,0.249908
2,0,58,0,0,0,NULL,0,3870
3,0,41,0,0,0,6666,0,0.456127
4,0,43,0,0,0,10500,2,0.00019
5,1,49,0,0,0,400,0,0.27182
6,0,55,0,0,0,8934,0,0.324678
7,0,25,0,0,0,2200,0,0.473421
8,1,31,0,0,0,4076,0,0.017415
9,1,37,2,0,0,7166,0,0.23371
10,0,55,0,0,0,3750,0,0.420954
11,1,53,10,3,1,3500,0,0.33162
12,0,57,0,0,0,16000,0,0.337166
13,1,39,8,0,1,9116,1,0.961171
14,0,61,0,0,0,5900,1,0.549059
15,0,78,0,0,0,NULL,0,888
16,0,58,0,0,0,NULL,2,1328
17,0,30,0,0,0,2904,0,0.417556
18,0,27,0,0,0,NULL,NULL,10
19,0,60,0,0,0,9106,1,0.386186
20,0,26,0,0,1,6500,0,0.07322
21,0,56,0,0,0,5000,0,0.494101
22,0,57,0,0,0,15600,0,0.257227
23,0,31,0,0,0,5500,1,0.463007
24,0,62,0,0,0,8577,2,0.372231
25,0,50,0,0,0,8038,2,0.582908
26,1,42,3,0,0,NULL,0,1296
27,0,81,0,0,0,5899,0,0.000678
28,0,80,0,0,0,1600,0,0
29,0,73,0,0,0,29133,0,0.111416
30,1,59,5,1,0,NULL,0,3252
31,0,41,1,0,0,NULL,0,1421
32,0,30,0,0,0,NULL,0,1513
33,1,48,0,0,0,8609,4,0.402904
34,0,55,0,0,0,NULL,0,805
35,0,29,0,0,0,9000,0,0.224753
36,0,69,1,0,0,NULL,0,5089
37,1,39,1,0,0,12900,2,0.388264
38,1,47,3,0,1,NULL,0,2078
39,0,50,0,0,0,4200,3,0.420138
40,0,25,0,0,0,1547,1,0.020672
41,1,42,0,0,0,1000,1,2.644356
42,0,37,0,0,0,14500,0,0.335494
43,0,71,0,0,0,NULL,NULL,1419
44,1,62,0,0,0,2734,0,0.434735
45,0,59,0,0,0,2515,0,2.094595
46,1,58,1,1,0,2500,0,0.145142
47,0,61,0,0,0,7085,1,0
48,1,43,0,0,0,3000,0,1.416861
49,0,64,0,0,1,4811,0,0.368246
50,1,47,1,3,0,5000,2,0.504299
51,1,58,1,1,0,7916,1,0.19515
52,0,78,0,0,0,2397,0,0.006672
53,1,51,2,0,0,36000,0,0.0045
54,1,66,0,0,1,4780,0,0.417904
55,0,31,0,0,0,2928,0,0.136907
56,0,78,0,0,0,2220,0,0.008555
57,0,23,98,98,98,NULL,NULL,0
58,0,56,0,1,0,NULL,0,126
59,0,83,0,0,0,4250,0,0.146319
60,1,41,2,0,0,9500,2,0.163562
61,0,52,0,0,0,8100,0,0.001852
62,0,57,0,0,0,1800,0,0.823987
63,0,25,0,0,0,3146,2,0.182396
64,1,48,8,1,2,NULL,0,3082
65,1,53,1,0,0,13016,4,0.381117
66,1,67,3,4,1,4200,0,1.41014
67,0,39,0,0,0,10846,1,0.468056
68,1,56,0,0,0,NULL,0,2132
69,0,45,0,0,0,5920,4,0.432022
70,0,39,0,0,0,4583,0,0.545593
71,0,68,0,0,0,10833,0,0.255769
72,0,59,0,0,0,11593,1,0.350526
73,0,54,0,0,0,NULL,0,953
74,0,63,1,0,0,6900,0,0.134183
75,0,39,0,0,0,2000,0,1.664668
76,0,59,1,1,0,596,0,0.835846
77,1,54,2,0,0,NULL,1,1762
78,0,37,0,0,0,12000,2,0.31564
79,1,28,0,0,0,NULL,NULL,68
80,0,40,0,0,0,4643,2,0.09087
81,1,54,1,0,1,3026,1,0.268913
82,1,41,0,2,6,3000,1,0.19027
83,0,60,0,0,0,NULL,0,40
84,0,31,0,0,0,2600,0,0.134179
85,0,51,0,0,0,1450,1,1.11785
86,0,60,0,0,0,4550,0,0.426719
87,0,51,0,0,0,18833,0,0.31613
88,0,69,0,0,0,0,1,1248
89,0,58,0,0,0,NULL,0,54
90,0,66,0,0,0,3175,0,0.264484
91,1,65,0,1,0,2423,0,1.403465
92,0,86,0,0,0,NULL,0,18
93,1,40,1,1,0,4868,2,0.405833
94,1,51,0,1,1,3785,0,0.287639
95,0,33,0,0,0,6500,2,0.067374
96,0,45,1,0,0,7000,1,0.611056
97,0,45,1,0,0,6666,2,0.635668
98,1,32,1,0,0,4033,0,0.507437
99,0,58,0,0,0,4400,1,0.95342
100,0,61,0,0,0,1950,0,0.646335
101,0,47,0,0,0,5329,3,0.498124
102,0,82,0,0,0,NULL,0,175
103,1,74,1,0,0,2750,0,1.157397
104,0,62,0,0,0,3199,0,0.400313
105,0,51,0,0,0,1660,0,2.210114
106,0,37,0,0,0,3923,1,0.575943
107,0,69,0,0,0,1500,0,1.091272
108,1,35,0,0,0,2666,2,0.304462
109,0,34,0,1,0,2747,4,0.008734
110,1,44,4,1,1,13500,2,0.388193
111,0,36,1,0,0,10250,2,0.438104
112,1,58,0,0,0,5014,0,0.744167
113,1,44,0,0,1,NULL,0,2591
114,0,52,0,0,0,5000,3,0.072386
115,0,79,0,0,0,3075,0,0.005852
116,0,71,0,0,0,5853,0,0.101469
117,0,47,0,0,0,6250,0,0.786434
118,0,39,0,0,0,3500,3,0.7515
119,0,40,3,0,0,5200,1,0.524707
120,1,60,2,0,0,NULL,NULL,521
121,0,45,0,0,0,10000,1,0.170883
122,0,70,0,0,0,1505,0,0.054449
123,1,54,0,0,0,1600,1,0.527795
124,0,49,0,0,0,5950,2,0.465804
125,0,48,1,0,0,4024,1,0.344596
126,0,52,0,0,0,121200,0,0.006642
127,1,47,2,1,4,7333,0,0.453641
128,1,25,0,0,0,1463,1,0.101093
129,0,38,1,0,0,7632,2,0.435871
130,1,53,0,0,0,NULL,0,2829
131,0,36,0,0,0,9300,4,0.05322
132,0,62,1,1,2,6100,0,0.375348
133,1,28,0,0,0,2925,0,0
134,0,44,1,0,1,4000,0,0.555111
135,0,63,0,0,0,NULL,0,183
136,0,36,0,1,4,3420,2,0.496638
137,0,53,0,0,0,14000,1,0.192629
138,1,42,0,0,0,NULL,0,5152
139,0,49,1,0,0,5750,0,0.383238
140,0,63,2,0,0,6250,1,0.191649
141,0,66,0,0,0,4833,0,0.088333
142,0,60,0,0,0,NULL,0,2102
143,0,54,0,0,1,7666,0,0.56241
144,0,43,0,0,0,6968,0,0.257282
145,1,33,0,1,0,5079,0,0.286417
146,0,46,0,0,0,3333,0,0.188362
147,1,31,0,2,0,1600,0,0
148,0,64,0,0,0,NULL,0,7335
149,0,84,0,0,0,4583,0,0.266361
150,1,43,4,3,0,4400,2,0.553965
151,0,68,1,0,0,5000,0,0.543491
152,1,36,0,2,0,NULL,0,0
153,1,28,1,0,2,NULL,0,541
154,1,29,0,0,1,2720,2,0.219772
155,0,64,0,0,0,NULL,0,1715
156,0,27,0,0,0,3200,0,0.149328
157,0,68,0,0,0,NULL,0,123
158,1,50,98,98,98,1350,0,0
159,0,63,0,0,0,1852,0,0.445764
160,0,74,0,0,0,7147,0,0.478595
161,0,42,0,0,0,7900,1,0.423238
162,0,49,0,0,0,6250,0,0.25068
163,0,21,98,98,98,NULL,NULL,0
164,1,24,0,0,0,1700,0,0.048207
165,1,44,0,0,0,4549,1,0.790549
166,1,49,2,1,1,7163,3,0.305137
167,1,48,5,0,1,6999,3,0.158286
168,0,69,0,0,0,11000,1,0.010181
169,0,32,0,0,0,10000,0,0.10189
170,0,44,1,0,0,7200,3,0.149424
171,0,38,1,0,0,4500,3,0.243279
172,1,27,0,0,0,2400,1,0
173,0,66,0,0,0,NULL,0,911
174,0,69,0,0,0,1900,0,0.024198
175,0,75,0,0,0,NULL,0,659
176,0,61,0,0,0,4377,0,0.440384
177,0,55,1,0,0,2560,0,0.509176
178,0,49,1,0,0,2500,0,0.002399
179,0,25,0,0,0,1500,0,0.123251
180,1,34,4,0,0,NULL,0,2684
181,0,53,0,0,0,4166,0,0.360451
182,0,26,98,98,98,2000,0,0
183,0,77,0,0,0,10416,0,0.001824
184,1,66,0,0,0,NULL,0,4562
185,0,33,0,0,0,7000,1,0.308527
186,1,60,1,0,0,12500,0,0.238381
187,0,34,0,0,0,8888,1,0.000225
188,1,49,1,0,1,6800,2,0.473607
189,0,41,0,0,0,1,4,306.5
190,0,55,0,0,0,7374,1,0.563525
191,0,61,0,0,0,23400,1,0.35037
192,0,82,0,0,0,3120,0,0.376161
193,1,26,1,1,5,4000,0,0.354411
194,1,57,1,1,0,NULL,0,2222
195,0,54,0,0,0,7250,1,0.182733
196,0,87,0,0,0,1100,0,0.52861
197,0,27,0,0,0,4500,1,0.291491
198,0,56,0,0,0,6200,1,0.224964
199,0,50,1,0,0,8999,2,0.316222
200,0,36,0,0,0,1800,1,0.006663
201,0,31,1,0,0,15800,1,0.106322
202,0,54,0,0,0,1000,0,0.839161
203,1,66,0,0,1,9200,0,0.001196
204,0,62,1,0,0,7000,0,0.550064
205,1,39,4,4,0,NULL,0,453
206,0,34,0,0,0,1500,0,3.391073
207,1,55,1,0,0,NULL,0,2776
208,0,32,0,0,0,3200,1,0.95314
209,0,48,2,0,0,NULL,1,514
210,0,57,0,0,0,11036,0,0.14397
211,0,34,0,0,0,6000,3,0.127145
212,0,60,1,1,1,4915,1,0.469081
213,0,23,0,0,0,NULL,NULL,2
214,0,29,1,0,0,3333,0,0.221656
215,0,70,0,0,0,1,1,1470
216,0,50,1,0,0,3785,1,0.357898
217,1,42,1,7,0,1800,0,0.716269
218,0,35,0,0,0,11000,1,0.309972
219,1,47,2,4,0,5100,2,0.13566
220,0,53,0,0,0,2726,3,0.661533
221,1,50,6,3,2,10962,4,0.772234
222,0,29,0,0,0,4250,0,0.171254
223,1,54,0,0,1,2756,0,0.012332
224,1,35,1,0,0,2105,2,1.533713
225,0,43,0,0,0,4134,4,0.102297
226,0,66,0,0,0,NULL,NULL,2180
227,1,71,0,0,0,7701,1,0.785251
228,0,58,0,0,0,8600,0,0.485874
229,0,41,0,0,0,NULL,NULL,2006
230,0,54,0,0,0,45000,0,0.044866
231,1,33,1,1,0,3500,0,0.242217
232,0,42,0,0,0,7000,0,0.065848
233,0,35,0,0,0,3813,3,0.160199
234,0,63,0,0,0,5343,0,0.063249
235,1,60,0,3,0,2255,0,0.275266
236,0,51,0,0,0,2000,0,0.363818
237,1,36,2,3,1,3960,2,0.277455
238,0,55,0,0,0,3900,0,0.32607
239,1,27,0,0,0,3120,0,0.153156
240,0,71,0,0,0,5116,0,0.213993
241,1,43,2,0,0,5870,4,0.634815
242,0,63,0,0,0,12500,0,0.290697
243,1,45,4,1,1,2019,0,1.929208
244,0,40,0,0,0,NULL,0,510
245,1,49,1,1,0,5300,3,0.594605
246,0,38,0,0,0,5500,0,0.274496
247,0,41,0,0,0,2066,0,0.024673
248,1,57,0,0,0,5415,0,0.971566
249,0,60,0,0,0,NULL,0,655
250,0,63,0,0,0,3000,0,0.832056
251,0,42,0,0,0,NULL,0,77
252,0,75,0,0,0,NULL,0,20
253,0,42,0,0,0,5040,2,0.777623
254,0,34,1,1,1,4625,0,0.40294
255,0,55,1,0,0,13000,2,0.339282
256,1,49,4,0,0,7862,2,0.386367
257,0,76,0,0,0,2500,0,0.013994
258,1,40,0,0,0,45000,1,0.30966
259,0,56,1,0,0,8166,0,0.054732
260,0,76,0,0,0,500,0,0.439122
261,1,38,0,0,0,1000,1,0
262,0,68,1,0,0,7350,0,0.289893
263,0,62,0,0,0,7838,0,0.35081
264,0,53,0,0,0,5333,1,0.71991
265,0,42,0,0,0,1600,0,0.797626
266,0,53,0,0,0,NULL,NULL,4177
267,0,57,0,0,0,4600,1,0.157574
268,0,27,0,0,0,7,0,12.5
269,0,33,0,0,0,5000,0,0.063587
270,0,57,0,0,0,2800,0,0.59336
271,1,61,2,3,0,6175,0,0.354113
272,0,59,0,1,0,1900,0,0.903209
273,0,51,0,0,0,4333,2,0.929395
274,1,33,0,0,0,4176,0,0.237012
275,1,42,2,0,0,5400,2,0.603777
276,0,46,0,0,0,9900,2,0.330977
277,1,60,1,1,2,1200,2,2.646128
278,0,32,0,0,0,4633,1,0.104661
279,0,47,2,0,0,4772,2,0.728263
280,1,37,0,0,0,22000,2,0.215627
281,0,69,0,0,0,10000,0,0.148885
282,1,40,1,0,0,4958,1,0.31095
283,0,39,0,0,0,NULL,0,6003
284,1,51,2,0,1,3750,0,1.068515
285,1,38,0,0,0,2975,0,0.975806
286,1,43,0,0,0,4072,0,0.969556
287,1,26,0,0,0,1550,0,1.92392
288,0,32,0,0,0,2584,4,0.229787
289,0,64,0,0,0,5000,0,0.207159
290,0,64,0,0,0,6000,3,0.307615
291,1,43,0,0,0,6000,0,0.417264
292,1,55,1,0,0,3950,0,0.563908
293,1,60,0,0,0,8830,0,0.417733
294,0,47,0,0,0,NULL,0,3221
295,0,38,0,0,0,6700,0,0.186241
296,1,38,1,0,0,2400,2,0.023324
297,1,63,1,0,1,NULL,0,4206
298,0,32,0,2,1,6006,1,0.600966
299,0,29,0,0,0,3438,1,0.164292
300,1,35,2,1,2,2877,0,0.793259
301,0,46,0,0,0,9700,1,0.278322
302,1,28,2,1,0,2200,0,0.270332
303,0,78,0,0,0,NULL,0,2
304,0,76,0,0,0,NULL,0,3548
305,0,66,0,0,0,NULL,0,64
306,0,51,1,0,0,6000,3,0.496417
307,1,45,0,0,0,8046,2,0.138312
308,0,54,0,0,0,3800,2,0.409892
309,0,72,0,0,0,2401,0,0.387594
310,0,53,1,0,0,NULL,0,3381
311,0,74,0,0,0,5326,1,0.208185
312,1,35,1,0,0,6666,2,0.426429
313,1,23,98,98,98,NULL,0,0
314,0,53,1,0,0,4365,2,0.879524
315,0,33,0,0,0,6954,2,0.345219
316,1,60,1,1,0,4253,0,0.104137
317,1,54,0,0,0,4620,2,0.402727
318,0,52,0,0,1,5720,0,0.396259
319,0,57,0,0,0,13632,0,0.123084
320,0,73,0,0,0,0,1,536
321,0,57,0,0,0,NULL,1,2543
322,0,27,0,0,0,4432,0,0.078051
323,1,33,0,0,0,4500,3,0.26994
324,1,32,6,0,1,1000,0,0.919081
325,0,76,0,0,0,5435,0,0.009198
326,0,59,0,0,0,5088,0,0.17921
327,0,54,0,0,0,5473,3,0.783522
328,0,27,0,0,0,7500,0,0.052393
329,1,25,1,0,2,3600,1,0.270758
330,0,54,0,0,0,9616,1,0.243839
331,1,42,1,1,0,3254,4,0.083564
332,1,44,1,0,0,750,0,0.356858
333,0,44,0,0,0,4933,0,0.837454
334,0,26,0,0,0,2500,0,0.132747
335,1,41,0,3,1,4200,2,0.233278
336,0,59,0,0,0,4500,1,0.505888
337,1,53,0,0,0,NULL,1,1513
338,0,40,0,0,0,NULL,2,973
339,1,44,0,0,0,3833,0,0.350548
340,1,30,0,2,1,3500,0,0.15367
